feature_id,condition_rtn,bits_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,bits_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
279,RTN INT6,6,4,0.93373039584009,0.0046674679487179,0.0009594966503731,3.89186429977417,True,True,False,Magnitude pruning matched INT6,16,4,0.923232022686164,0.0046674679487179,0.0009594966503731,3.89186429977417,True,True,False,0.06626960415991001,0.076767977313836,True,True,False,False,False,False,False,False
280,RTN INT6,6,4,0.98253381116989,0.001953125,0.001165047314209,6.3055620193481445,True,True,False,Magnitude pruning matched INT6,16,4,0.9823336102248728,0.001953125,0.001165047314209,6.3055620193481445,True,True,False,0.017466188830109974,0.017666389775127245,True,True,False,False,False,False,False,False
284,RTN INT6,6,4,0.9250595240714626,0.0321614583333333,0.0061896359915128,1.4686987400054932,True,True,False,Magnitude pruning matched INT6,16,4,0.9249579546847384,0.0321614583333333,0.0061896359915128,1.4686987400054932,True,True,False,0.07494047592853736,0.0750420453152616,True,True,False,False,False,False,False,False
296,RTN INT6,6,4,0.957164065778324,0.0043770032051282,0.0017205842985556,3.656227350234986,True,True,False,Magnitude pruning matched INT6,16,4,0.9622342667460216,0.0043770032051282,0.0017205842985556,3.656227350234986,True,True,False,0.042835934221675975,0.03776573325397836,True,True,False,False,False,False,False,False
301,RTN INT6,6,4,0.8563832724791118,0.0033603766025641,0.000546644672823,0.8309744596481323,True,False,False,Magnitude pruning matched INT6,16,4,0.7775492013320631,0.0033603766025641,0.000546644672823,0.8309744596481323,True,False,False,0.14361672752088817,0.22245079866793693,False,False,True,True,False,False,True,True
311,RTN INT6,6,4,0.9823701543919148,0.0126352163461538,0.0072993990678626,4.06037712097168,True,True,False,Magnitude pruning matched INT6,16,4,0.9837583406207212,0.0126352163461538,0.0072993990678626,4.06037712097168,True,True,False,0.017629845608085226,0.016241659379278794,True,True,False,False,False,False,False,False
316,RTN INT6,6,4,0.770596716570682,0.0049579326923076,0.0013020427491611,4.05258321762085,True,False,False,Magnitude pruning matched INT6,16,4,0.749858616756682,0.0049579326923076,0.0013020427491611,4.05258321762085,True,False,False,0.22940328342931804,0.250141383243318,False,False,True,True,False,False,True,True
319,RTN INT6,6,4,0.7432703648661406,0.0430989583333333,0.0161553090121835,4.329374313354492,True,False,False,Magnitude pruning matched INT6,16,4,0.8503337567571236,0.0430989583333333,0.0161553090121835,4.329374313354492,True,False,False,0.2567296351338594,0.14966624324287636,False,False,True,True,False,False,True,True
325,RTN INT6,6,4,0.9094811865285232,0.0143629807692307,0.0028956280066034,1.9347941875457764,True,True,False,Magnitude pruning matched INT6,16,4,0.8794880692362715,0.0143629807692307,0.0028956280066034,1.9347941875457764,True,False,False,0.09051881347147683,0.12051193076372846,True,False,False,True,False,False,False,True
336,RTN INT6,6,4,0.7033389077101679,0.0016075721153846,0.0003361813968811,0.918772041797638,True,False,False,Magnitude pruning matched INT6,16,4,0.7725781312284057,0.0016075721153846,0.0003361813968811,0.918772041797638,True,False,False,0.29666109228983206,0.22742186877159432,False,False,True,True,False,False,True,True
337,RTN INT6,6,4,0.9775299800772528,0.0026993189102564,0.0009046107491788,4.528497695922852,True,True,False,Magnitude pruning matched INT6,16,4,0.9701328293495908,0.0026993189102564,0.0009046107491788,4.528497695922852,True,True,False,0.02247001992274722,0.029867170650409225,True,True,False,False,False,False,False,False
338,RTN INT6,6,4,0.9404511806564688,0.047871594551282,0.0128316229313779,2.491053342819214,True,True,False,Magnitude pruning matched INT6,16,4,0.9410903998749184,0.047871594551282,0.0128316229313779,2.491053342819214,True,True,False,0.05954881934353118,0.05890960012508162,True,True,False,False,False,False,False,False
356,RTN INT6,6,4,0.9415379407265132,0.0018729967948717,0.0009182395207552,3.702803134918213,True,True,False,Magnitude pruning matched INT6,16,4,0.9735817575630564,0.0018729967948717,0.0009182395207552,3.702803134918213,True,True,False,0.0584620592734868,0.026418242436943573,True,True,False,False,False,False,False,False
361,RTN INT6,6,4,0.9003224633555825,0.0061348157051282,0.0009809650377018,2.711017370223999,True,True,False,Magnitude pruning matched INT6,16,4,0.8760668899912459,0.0061348157051282,0.0009809650377018,2.711017370223999,True,False,False,0.09967753664441747,0.12393311000875407,True,False,False,True,False,False,False,True
363,RTN INT6,6,4,0.9904504295527488,0.0021885016025641,0.0012030944831143,6.752535820007324,True,True,False,Magnitude pruning matched INT6,16,4,0.9909941227093227,0.0021885016025641,0.0012030944831143,6.752535820007324,True,True,False,0.009549570447251243,0.009005877290677256,True,True,False,False,False,False,False,False
